"about","industry","location","logo","name","size","website link","unique id"
"","Animation","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1628969773736x732212104149942100/Frame%201.png","Basement Animation","","www.basementanimation.com","1628965084950x118549025427292160"
"","Human Resources","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1628969789359x800230078823759500/Frame%202.png","SeamlessHR","","www.SeamlessHR.com","1628967930051x588829196759859200"
"","Entertainment","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629145333993x131552949340218340/Frame%204.png","Seats and Tickets","","www.seatsandtickets.com","1629061653365x299307639413932000"
"","Insurance","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629145320568x983342669163975700/Frame%203.png","Scib Nigeria & Company Ltd","","Www.scibng.com","1629130040034x273251674182123520"
"","Management Consulting","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629145303414x724820313813887700/Alder%20Logo%20DP.png","Alder Consulting","","Www.alderconsulting.com","1629133097965x787834965782954000"
"","Banking","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629147397158x822220517886680200/wema.png","Wema Bank Plc","","www.wemabank.com","1629145753521x530552470756130800"
"","Real Estate","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629281735416x312347169353611100/Frame%206.png","Castles lifestyle magazine (Realhouse Communication)","","www.castles.com.ng","1629157028526x237882636635996160"
"","Internet","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629281700672x404683765368843300/Frame%208.png","ipNX Nigeria Limited","","https://www.ipnxnigeria.net/","1629184377413x572726605811023900"
"","Insurance","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629281686040x609737454707724800/Frame%209.png","Mutual Benefits Life Assurance","","www.mutualng.com","1629187265600x888675945522397200"
"","Retail & Supermarkets","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629281667023x490175806302745000/Frame%2010.png","Timekeepers International limited ","","www.timekeeper_ng.com","1629192860345x265531588989943800"
"","Food & Beverages","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629281406021x165526025436855140/nestle%20wbg.jpg","Nestlé Nigeria Plc","","www.nestle-cwa.com","1629209702516x780678252655018000"
"Gokada is a leading technology startup in Africa's largest economy, Nigeria, and has the potential to become one of the most impactful companies in all of Africa. Our Mission is to make African Cities easier, better, and more enjoyable to live in by empowering the lives of people through technology. Our Vision is to be the biggest Super App for Africa and we aim to make Africa Cities easier, better, and more enjoyable to live in by empowering the lives of people through technology.","Logistics & Supply Chain","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629294888794x244585032995961800/Frame%2012.png","Gokada","51-200 employees","https://gokada.ng","1629293597631x859169763656728600"
"","Banking","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629358978864x820831575325812600/access.png","Access Bank Plc","","www.accessbankplc.com","1629357612026x412472425792929800"
"","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629359366785x668600148632884400/decagon.png","Decagon","","https://decagonhq.com/","1629359026680x323549104727392260"
"","Logistics & Supply Chain","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629651431281x915465921307490400/gig.png","GIG Logistics","","https://giglogistics.com/","1629400409321x273032036416487420"
"","Other","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629651420113x986372349967527000/mwanga.png","Mwanga Limited ","","mwanga.ng","1629526117109x431159832713625600"
"","Other","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Electronic Payplus Limited","","www.epayplusng.com ","1629905087960x190945384199880700"
"","Automotive","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Sonlink Motors and Spares","","www.sonlink-motor.com","1630334422575x907543551328124900"
"","Insurance","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1635769668326x711156774508118000/fbn%20insurance.png","FBN Insurance","","https://www.fbninsurance.com/","1630588951998x689103697720901600"
"","Non-Profit Organisation","Abuja, Nigeria","//s3.amazonaws.com/appforest_uf/f1635769644921x780784455332247200/missions1.png","Missions 1","","https://missions1.org","1631193807935x511160972663586800"
"","Retail & Supermarkets","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1635769632930x390613675218853100/kobobid.png","Kobobid","","www.Kobobid.com","1631716836208x549883134552047600"
"","Marketing & Advertising","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1635769183913x370250868410509060/brandeye.png","BrandEye Media","","https://brandeyemedia.com/","1631815257525x220201616561143800"
"","Banking","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1635769169722x869709830425437800/uba.png","United Bank for Africa","","Ubagroup.Com","1632564306842x268895662843363330"
"","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1635769155485x192213081071013220/afri%20invest.png","Afrinvest West Africa Limited","","https://www.afrinvest.com/","1633009698094x503588770887237600"
"","Financial Technology","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Chaka","","Chaka.com","1633276953788x545256158071881700"
"","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1635769010990x496934198333822000/fbn%20quest.png","FBN Quest","","https://fbnquest.com/","1633507046353x949939621202755600"
"","Legal Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1635768989714x890107246724918500/kenna.png","Kenna Partners","","Kennapartners.com","1634731075999x357009617129570300"
"","Telecommunications","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Globacom Limited ","","Www.GloWorld.com","1637614859312x388492131046260740"
"","Education Management","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Certification Edge","","https://certificationedge.com/?gclid=CjwKCAiA4veMBhAMEiwAU4XRr8kibnc_0C_qZjo3vTvoV7JuAulxnLVYvbM-eNeY8mYr5eHWLLlrfBoCGKgQAvD_BwE","1637744826239x586064668339208200"
"","Real Estate","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Sujimoto","","https://sujimotonig.com/","1641580676796x404437508984668200"
"","Entertainment","Ogun, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Solution Media and Infotech ","","Www.solutionmi.com ","1642591420484x540687881216458750"
"","","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1642687470802x479934988200035200/company%20logo_generic.png","Hazon Holdings","","","1642687481640x670191260048557000"
"","Logistics & Supply Chain","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Yakora Limited ","","Yakora limited.no.co","1644614025408x694879614850039800"
"","Public Relations & Communications","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Black House Media ","","https://bhmng.com/","1645381823290x945419130594918400"
"","Other","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","PwC Nigeria","","https://www.pwc.com/ng/en.html","1647911864553x249498710887628800"
"","Insurance","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","FBN Insurance Brokers ","11-50 employees","www.fbninsurancebrokers.com","1648028356106x353601560346624000"
"","Banking","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","FirstBank ","5001-10,000 employees","FirstBanknigeria.com","1648028706493x137462961067786240"
"Pulse is Africa's leading innovative media company. We inform & engage Africa's young audience - and provide expansive media reach and creative marketing solutions to our partners.","Media Production","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Pulse","201-500 employees","www.pulse.africa","1648038933504x487224750449360900"
"Glovo is a Barcelona-based startup and the fastest-growing delivery player in Europe, Western Asia, and Africa. With food at the core of its business, Glovo delivers any product within your city at any time of day. We currently deliver over 100M+ annual orders and operate in 23 countries and 1080+ cities.","Consumer Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Glovo","1001-5000 employees","http://about.glovoapp.com/en/","1648040089939x127545629163388930"
"Reliance Health is a healthcare company using technology to make healthcare more affordable and accessible. Through an integrated approach that includes affordable health insurance, telemedicine and a combination of partner and proprietary healthcare facilities, Reliance Health offers innovative healthcare solutions that meet the needs of emerging markets.

We are also backed by some of the world’s most prominent investors including Partech, Y Combinator and Tencent.","Hospital & Healthcare","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Reliance Health","201-500 employees","https://getreliancehealth.com/","1648041306209x938186137142820900"
"Women’s World Banking designs and invests in the financial solutions, institutions and policy environments in emerging markets to create greater economic stability and prosperity for women, their families, and their communities. With a global reach of 53 partners in 32 countries serving more than 30 million women clients, Women’s World Banking drives impact through its scalable, market-driven solutions; gender-lens private equity fund; and leadership and diversity programs.","Non-Profit Organisation","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Women's World Banking","11-50 employees","www.womensworldbanking.org","1648044058969x778706471652163600"
"Old Mutual Limited is a premium pan-African financial services group that offers a broad spectrum of financial solutions to retail and corporate customers across key markets in 14 countries. We have been helping our customers achieve their lifetime financial goals for over 170 years by investing their funds in ways that create positive futures for them, their families, their communities and broader society.
In this way, we significantly contribute to improving the lives of our customers and their communities while ensuring a sustainable future for our business.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Old Mutual","10,001+ employees","http://www.oldmutual.co.za","1648045365640x260829434524205060"
"The Bulb™ is a platform for African creatives to turn tech ideas into business realities. We run accelerator programs, incubate entrepreneurs and provide training to help them launch, grow and sustain businesses.","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","The Bulb Africa","201-500 employees","https://thebulb.africa/","1648320336298x598247341016219600"
"Bincom ICT Solutions is a fast growing Information Communication Technology (ICT) Solutions firm. Founded in 2006, with a core in web and emerging technologies, Bincom has since grown and developed expertise in various complex areas of IT, and is fast becoming Nigeria's leading ICT firm providing cutting edge technology solutions and best use of technology to the world.","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Bincom ICT","11-50 employees","https://www.bincom.net/","1648321853173x249693284563943420"
"","Media Production","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Techpoint Africa","11-50 employees","Techpoint.africa","1648478327134x446778156636438500"
"Chipper is the largest mobile cross-border money transfer platform in Africa. We are a small passionate team, dedicated to expanding financial inclusion in some of the global regions most in need of accessible, interoperable, easy-to-use, and affordable financial services.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Chipper Cash","51-200 employees","https://chippercash.com/","1649097814366x315962417687035900"
"Interswitch is an Africa-focused integrated digital payments and commerce company that facilitates the electronic circulation of money as well as the exchange of value between individuals and organisations on a timely and consistent basis. We started operations in 2002 as a transaction switching and electronic payments processing, and have progressively evolved into an integrated payment services company, building and managing payment infrastructure as well as delivering innovative payment products and transactional services throughout the African continent. At Interswitch, we offer unique career opportunities for individuals capable of playing key roles and adding value in an innovative and fun environment.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Interswitch","201-500 employees","interswitch.com","1649100580196x164757722848034800"
"Co-creation Hub (CcHUB) is Nigeria’s first open living lab and pre-incubation space being designed to be a multi-functional, multi-purpose space where work to catalyze creative social tech ventures take place. The HUB is a place for technologists, social entrepreneurs, government, tech companies, impact investors and hackers in and around Lagos to co-create new solutions to the many social problems in Nigeria.","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Co-creation Hub (CcHUB)","51-200 employees","http://www.cchubnigeria.com/","1649101331746x806206509996572700"
"Code for Africa is the continent’s largest federation of independent civic technology and data journalism laboratories, which build digital democracy solutions giving citizens unfettered access to actionable information that empowers them to make informed decisions and that strengthen civic engagement for improved public governance and accountability.","Computer Software","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Code Africa","11-50 employees","codeforafrica.org","1649352101941x699660902672367600"
"Google LLC is an American multinational technology company that focuses on artificial intelligence, search engine, online advertising, cloud computing, computer software, quantum computing, e-commerce, and consumer electronics.","Internet","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Google Nigeria","201-500 employees","https://careers.google.com/locations/lagos/","1649352618542x247587213204258800"
"Clout Africa is a full stack media incubator that works to help brands reach global audiences by creating content tailored to the client and audience’s taste and optimising brands and individuals and organizations to reach peak marketability with the ultimate goal of exporting viable brands to international audiences.","Public Relations & Communications","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Clout Africa","11-50 employees","https://clout.ng/","1649353112744x307418475802656800"
"Gradely is using analytics and data-driven recommendations to help schools and parents intervene in real-time to student's learning gaps. Through weekly adaptive homework tests taken on the web or mobile device, Gradely is able to tell how much of a topic a student understands and recommend specific practice sets, remedial videos or private tutoring.","E-Learning","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Gradely Nigeria","11-50 employees","https://gradely.ng/","1649353776317x919008708919296000"
"","Human Resources","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","ReactHQ","1-10 employees","https://reacthq.dev/","1649371383097x804538157984383000"
"We are a fast-growing provider of digital services to African merchants and businesses in the fields of logistics, e-commerce and financial services","Logistics & Supply Chain","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Kwik","51-200 employees","https://www.kwik.africa","1649700992144x661770235189657600"
"Softcom was established in 2007 with a mission to “connect people and businesses with meaningful innovation”. A technology company which aims to solve problems that will connect people and businesses to value that ultimately improves their lives. We want our products to enable inclusion and growth for people and businesses in Africa.","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Softcom","201-500 employees","http://www.softcom.xyz","1649701285004x420552370008621060"
"Microsoft Corporation is an American multinational technology company with headquarters in Redmond, Washington. It develops, manufactures, licenses, supports, and sells computer software, consumer electronics, personal computers, and related services. Its best known software products are the Microsoft Windows line of operating systems, the Microsoft Office suite, and the Internet Explorer and Edge web browsers. 

At Microsoft our mission and values are to help people and businesses throughout the world realize their full potential.","Computer Software","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Microsoft Nigeria","51-200 employees","www.microsoft.com/en-ng/contact.aspx","1649702464814x119265154586378240"
"FSDH Holding Company Limited is a non-operating holding company focused on providing progressive financial services in Nigeria. Our subsidiaries include: FSDH Asset Management, FSDH Capital, FSDH Merchant Bank and Pensions Alliance Limited (PAL).

Maintaining our reputation as providers of dependable and innovative financial services in the region is important to us. To this end, we are continually deepening our business lines and expanding what we offer through our subsidiaries.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","FSDH Merchant Bank","51-200 employees","http://www.fsdhgroup.com","1649703122784x947083143887978500"
"Korapay is a payment infrastructure servicing a wide band of businesses making local and international payments. We are a marketplace for digital financial services across Africa. Our vision, which is at the core of what we do every day, is to create a world void of digital financial barriers across Africa. We are committed to delivering reliable, secure, and easy to use digital financial solutions to every single customer with a guarantee that it is improving their lives.","Financial Technology","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Korapay","11-50 employees","korapay.com","1649961232423x550629777462001660"
"We are a passionate team determined to challenge the status quo and make financial inclusion count for the millions of under-banked individuals and small business owners in Nigeria. We provide loans, savings, and fixed deposit solutions to our customers. Our vision is to be the most convenient lending company, delivering outstanding service experiences.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Renmoney","501-1000 employees","http://www.renmoney.com/","1649963115202x430343671429201900"
"We provide financing for mobile money agents based on their social reputation.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Moni","11-50 employees","https://moni.africa","1650358292833x384013220482908200"
"Flutterwave was founded on the principle that every African must be able to participate and thrive in the global economy. To achieve this objective, we have built a trusted payment infrastructure that allows consumers and businesses (African and International) make and receive payments in a convenient border-less manner.","Financial Technology","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Flutterwave","201-500 employees","flutterwave.com","1650636968844x153795603288031230"
"Bankly is a financial technology company pushing the boundaries in cash digitization and data-led consumer services. Since 2019, Bankly has been focused on building the infrastructure to serve Nigeria’s informal segment and so far we’ve served ~35000 customers across our network of ~15,000 agents around Nigeria. We’re building a bank for the financially underserved.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Bankly","11-50 employees","https://bankly.ng/","1650637241453x842239831252140000"
"SecondSTAX (SSX) was founded on the principle that investment firms will not be limited to investing only in their resident jurisdictions but will have access to trade in other markets and generate additional revenue for themselves and their clients. To bridge this gap in the market, SSX provides financial technology to investment firms for cross-border trading in African stocks and bonds.","Investment Management","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","SecondSTAX (SSX)","11-50 employees","https://secondstax.info/","1650639427019x729798406892421100"
"Flex Finance is Africa’s leading Spend management and requisition platform that helps finance teams and business owners manage all company spending in one place. We combined powerful payment infrastructure with spend management architecture and data-rich expense reports to revolutionize how businesses in Africa track spending.","Information Technology Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Flex Finance","11-50 employees","http://flexfinance.ai","1650907619820x396118988618727400"
"At uLesson, our mission is to build effective educational experiences that help Africans realise their aspirations. Our team of talented people are passionate about media, technology, education and the continent. Together, we seek to build a learning experience unprecedented in its richness, scope, interactivity and effectiveness.

Our service is built to specifically serve African needs across the board. We seek to engage African students in a manner that is culturally relevant, and responds to the syllabi in their respective countries.

We believe learning should be a personally fulfilling and exciting journey for every student. uLesson employs an individualistic approach to learning, applying simplified teaching methods designed to amplify each student’s learning ability with quality lesson plans from the best tutors. We take complex concepts of maths, physics, chemistry and biology and present them to the learner in a manner that makes learning interactive and engaging.","E-Learning","Abuja, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","uLesson","51-200 employees","http://www.ulesson.com/","1651152212559x143448136930557950"
"Genesis Cinemas is the leading cinema chain of West Africa with 12 locations, 47 screens and over 4,700 seats in operation across Nigeria. GC is part of the Genesis Group, a Nigerian based conglomerate established in 1991 with its key focus on hospitality and entertainment with diverse interests in Restaurants, Hotels, Industrial Catering, Cinemas, Family Entertainment Centres and Facility Management.

The Genesis Cinemas Brand and company was launched into the Nigerian market in the year 2008, in Lagos. By the month of December 2011, the company had served over 15 million customers. Genesis Cinemas, has cinemas located in Lagos, Port-Harcourt, Warri, Owerri, Abuja and Asaba. Our strategy to continue to grow in all major cities of the country will have us opening in more locations in the years to come. We are a major brand in the strategic Lagos market, with our current Lekki location situated at the most popular shopping mall in the country with over 800 parking spaces, housing some of the most prestigious Nigerian and international retail brands. Genesis Cinemas Lagos was the first cinema in West Africa to show a 3D movie (Green Hornet) in February, 2011.","Entertainment","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","Genesis Cinemas","501-1000 employees","http://www.genesiscinemas.com","1651153344513x812447141084528600"
"TeamApt is Nigeria’s largest Agency banking operator and is now building the largest digital bank offering financial services products tailored to meet the needs of the underserved mass market - micropayments, savings, lending, insurance, pensions - using technology and low-cost offline distribution models. We believe providing financial access to the over 350 million Africans who are currently financially underserved will economically empower them and put them on a path to becoming the next generation of middle-class Africans.","Financial Services","Lagos, Nigeria","//s3.amazonaws.com/appforest_uf/f1629817871310x259810843833854880/company%20logo_generic.png","TeamApt","201-500 employees","http://www.teamapt.com","1651154158583x397557858436907000"
